,SKU,price,note,category,brand,platform
27,BRONET 24Jam 2GB 60hr,29400,,Paket Data,Axis,mitra bukalapak
30,BRONET 24Jam 2GB 60hr,29400,Kuota 2GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,Paket Data,Axis,mitra bukalapak
31,"[Parti Day] Bronet 24jam 6GB Nat + 4GB Sosmed/Chat, 10hr",28000,,Paket Data,Axis,mitra bukalapak
32,BRONET Mini 8GB 7 hari,29450,,Paket Data,Axis,mitra bukalapak
33,AXIS DATA PURE 2GB 60HR,31250,,Paket Data,Axis,mitra bukalapak
34,AIGO Bronet 24Jam 5GB 30hr,32850,,Paket Data,Axis,mitra bukalapak
35,BRONET 24Jam 3GB 60hr,37000,Kuota 3GB (2G/3G/4G) 24Jam. Masa aktif 60 hari. Aktivasi paket di *838*VOUCHER#,Paket Data,Axis,mitra bukalapak
36,AIGO Bronet Mini 7GB 15hr,34900,,Paket Data,Axis,mitra bukalapak
40,"AXIS+ Bronet 24Jam 1GB 30hr, 6bln",36500,"Paket AXIS+ 24Jam 1GB 30hr, 6bln Kuota utama 1GB di 2G/3G/4G &amp; Bonus 2GB Sosmed/ Chat perbulan selama 6 Bulan",Paket Data,Axis,mitra bukalapak
41,AXIS DATA PURE 3GB 60HR,40500,,Paket Data,Axis,mitra bukalapak
42,AIGO Bronet 24Jam 8GB 30hr,47850,,Paket Data,Axis,mitra bukalapak
43,"Axis Data 3GB, 30 hari",48070,,Paket Data,Axis,mitra bukalapak
44,BRONET 24Jam 5GB 60hr,54900,Kuota 5GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,Paket Data,Axis,mitra bukalapak
45,AXIS DATA PURE 5GB 60HR,60000,,Paket Data,Axis,mitra bukalapak
51,"Axis Data 4GB, 30 hari",63320,,Paket Data,Axis,mitra bukalapak
52,AIGO Bronet 24Jam 12GB 30hr,64850,,Paket Data,Axis,mitra bukalapak
53,BRONET 24Jam 8GB + Games 2GB 60hr,69500,,Paket Data,Axis,mitra bukalapak
54,BRONET 24Jam 8GB 60d + Sosmed 2GB 30d,67500,,Paket Data,Axis,mitra bukalapak
55,"AXIS+ Bronet 24Jam 2GB 30hr, 6bln",71000,"Paket AXIS+ 24Jam 2GB 30hr, 6bln Kuota utama 2GB di 2G/3G/4G &amp; Bonus 5GB Sosmed/ Chat perbulan selama 6 Bulan",Paket Data,Axis,mitra bukalapak
60,AXIS DATA PURE 8GB 60HR,77900,,Paket Data,Axis,mitra bukalapak
61,"AXIS+ Bronet 24Jam 1GB 30hr, 12bln",77000,"Paket AXIS+ 24Jam 1GB 30hr, 12bln Kuota utama 1GB di 2G/3G/4G &amp; Bonus 2GB Sosmed/ Chat perbulan selama 12 Bulan",Paket Data,Axis,mitra bukalapak
62,"Axis Data 5GB, 30 hari",79570,,Paket Data,Axis,mitra bukalapak
63,"[Parti Day] Bronet 24jam 30GB Nat + 15GB Sosmed/Chat, 30hr",80000,,Paket Data,Axis,mitra bukalapak
66,"Axis Data 6GB, 30 hari",84000,,Paket Data,Axis,mitra bukalapak
67,BRONET 24Jam 10GB + Games 2GB 60hr,79700,,Paket Data,Axis,mitra bukalapak
68,BRONET 24Jam 10GB 60d + Sosmed 2GB 30d,79500,,Paket Data,Axis,mitra bukalapak
69,AIGO Bronet 24Jam 22GB 30hr,84850,,Paket Data,Axis,mitra bukalapak
70,"AXIS+ Bronet 24Jam 3GB 30hr, 6bln",87000,"Paket AXIS+ 24Jam 3GB 30hr, 6bln Kuota utama 3GB di 2G/3G/4G &amp; Bonus 7GB Sosmed/ Chat perbulan selama 6 Bulan",Paket Data,Axis,mitra bukalapak
71,AXIS DATA PURE 10GB 30HR,91500,,Paket Data,Axis,mitra bukalapak
72,BRONET 24Jam 12GB + Games 2GB 60hr,90000,,Paket Data,Axis,mitra bukalapak
78,BRONET 24Jam 12GB 60d + Sosmed 2GB 30d,89000,,Paket Data,Axis,mitra bukalapak
79,AXIS DATA PURE 12GB 60HR,102500,,Paket Data,Axis,mitra bukalapak
80,AXIS DATA PURE 16GB 60HR,124500,,Paket Data,Axis,mitra bukalapak
81,"Axis Data 8GB, 30 hari",123500,,Paket Data,Axis,mitra bukalapak
82,AXIS Mabrur Plus 5GB 10hr,249600,,Paket Data,Axis,mitra bukalapak
87,AXIS Mabrur Plus 10GB 15hr,374400,,Paket Data,Axis,mitra bukalapak
88,Combo Mabrur &amp; Haji 20 Hari,399000,,Paket Data,Axis,mitra bukalapak
89,AXIS Mabrur Plus 10GB 20hr,474240,,Paket Data,Axis,mitra bukalapak
90,Paket KANGEN 24Jam 30mnt 7hr,8750,"Kuota nelpon 30 menit ke semua operator, masa aktif 7 hari.",Paket Data,Axis,mitra bukalapak
91,Paket KANGEN 24Jam 100mnt 30hr,26400,"Kuota nelpon 100 menit ke semua operator, masa aktif 30 hari.",Paket Data,Axis,mitra bukalapak
92,BRONET 24Jam 8GB 60hr,71750,,Paket Data,Axis,mitra bukalapak
95,BRONET 24Jam 8GB 60hr,71750,Kuota 8GB (2G/3G/4G) 24Jam. Masa aktif 60 hari. Bonus Voucher Diamond Free Fire Rp. 1. S&amp;K berlaku.,Paket Data,Axis,mitra bukalapak
96,BRONET 24Jam 10GB 60hr,87900,Kuota 10GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,Paket Data,Axis,mitra bukalapak
97,BRONET 24Jam 12GB 60hr,97900,Kuota 12GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,Paket Data,Axis,mitra bukalapak
98,BRONET 24Jam 16GB 60hr,119900,Kuota 16GB (2G/3G/4G) 24Jam. Masa aktif 60 hari.,Paket Data,Axis,mitra bukalapak
0,Freedom Internet Sachet 2.5GB/5Hari,10860,,Paket Data,Indosat,mitra bukalapak
1,Freedom Internet 3GB / 30 Hari + Bonus Kuota Zona Hingga 2GB,19790,,Paket Data,Indosat,mitra bukalapak
2,Freedom Internet 5GB / 30 Hari + Bonus Kuota Zona Hingga 4GB,29790,,Paket Data,Indosat,mitra bukalapak
3,Freedom Internet 12GB / 30 Hari + Bonus Kuota Zona Hingga 8GB,48000,,Paket Data,Indosat,mitra bukalapak
4,Freedom Internet 24GB / 30 Hari + Bonus Kuota Zona Hingga 16GB,76000,,Paket Data,Indosat,mitra bukalapak
8,Freedom Internet 35GB / 30 Hari + Bonus Kuota Zona Hingga 25GB,96000,,Paket Data,Indosat,mitra bukalapak
9,Freedom U 45GB / 30 Hari,101200,,Paket Data,Indosat,mitra bukalapak
10,Freedom Internet 50GB / 30 Hari,115000,,Paket Data,Indosat,mitra bukalapak
11,Freedom Internet 100GB / 30 Hari,148000,,Paket Data,Indosat,mitra bukalapak
12,Paket Nelpon Obrol Sepuasnya ke Sesama 30 Hari,9900,,Paket Data,Indosat,mitra bukalapak
13,Freedom Internet 5GB/5 Hari,14800,,Paket Data,Indosat,mitra bukalapak
20,Freedom Internet 7GB/7 Hari,19740,,Paket Data,Indosat,mitra bukalapak
21,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua 30 Hari,24750,,Paket Data,Indosat,mitra bukalapak
22,Freedom Internet 15GB/3hr,24900,,Paket Data,Indosat,mitra bukalapak
23,Indosat Paket Unlimited Nelpon Sesama 30 Hari,27500,,Paket Data,Indosat,mitra bukalapak
27,Indosat Paket Unlimited Nelpon Sesama + 60 Menit All 30 Hari,28000,,Paket Data,Indosat,mitra bukalapak
28, Freedom Combo 6GB / 30 Hari,31990,,Paket Data,Indosat,mitra bukalapak
29, Freedom U 5.5GB / 30 Hari,31990,,Paket Data,Indosat,mitra bukalapak
30, Freedom Combo 10GB / 30 Hari,42750,,Paket Data,Indosat,mitra bukalapak
31,Paket Nelpon Obrol Sepuasnya ke Sesama + 250 menit ke Semua 30 Hari,49000,,Paket Data,Indosat,mitra bukalapak
32, Freedom U 10GB / 30 Hari,52950,,Paket Data,Indosat,mitra bukalapak
38,Freedom Combo 20GB / 30 Hari,64630,,Paket Data,Indosat,mitra bukalapak
39, Freedom U 20GB / 30 Hari ,74575,,Paket Data,Indosat,mitra bukalapak
40,Freedom Combo 30GB / 30 Hari,86500,,Paket Data,Indosat,mitra bukalapak
41, Freedom U 35GB / 30 Hari,96450,,Paket Data,Indosat,mitra bukalapak
42,Freedom Internet Sensasi 100GB / 15 Hari,98500,,Paket Data,Indosat,mitra bukalapak
49,Freedom Internet 42GB / 30 hari,100000,,Paket Data,Indosat,mitra bukalapak
50,Freedom Internet 200GB / 30 Hari,197500,,Paket Data,Indosat,mitra bukalapak
51,"Freedom Internet 100GB,90hr",247500,,Paket Data,Indosat,mitra bukalapak
0,Happy 1.5GB 1 hari + Kuota Lokal 0.5GB,3840,,Paket Data,Tri,mitra bukalapak
1,Happy 2.5GB 1 hari + Kuota Lokal 0.5GB,5150,,Paket Data,Tri,mitra bukalapak
2,Happy 1.5GB 7 hari + Kuota Lokal 1GB,8690,,Paket Data,Tri,mitra bukalapak
3,"PAKET DATA THREE 1,5 GB 24JAM MASA AKTIF 14 HARI",9940,,Paket Data,Tri,mitra bukalapak
5,Happy 3GB 3 hari + Kuota Lokal 1GB,10650,,Paket Data,Tri,mitra bukalapak
6,Happy 3GB 30 hari + Kuota Lokal 2GB,14450,,Paket Data,Tri,mitra bukalapak
7,Happy 5GB 3 Hari + Kuota Lokal 2GB,14400,,Paket Data,Tri,mitra bukalapak
8,AddOn 12GB,47330,,Paket Data,Tri,mitra bukalapak
9,AON Unlimited 26GB,75900,,Paket Data,Tri,mitra bukalapak
10,"Paket Data Three 200 MB, 30Hr",1950,Sedang Gangguan,Paket Data,Tri,mitra bukalapak
11,"Paket Data Three 500 MB, 30Hr",3950,Sedang Gangguan,Paket Data,Tri,mitra bukalapak
12,PAKET DATA THREE 750 MB 24JAM MASA AKTIF 14 HARI,4600,,Paket Data,Tri,mitra bukalapak
13,PAKET DATA THREE 1 GB 24JAM MASA AKTIF 30 HARI,6850,,Paket Data,Tri,mitra bukalapak
18,H3RO 12 Diamonds MLBB + 1GB,7700,,Paket Data,Tri,mitra bukalapak
19,Happy 5GB 1 hari,9750,,Paket Data,Tri,mitra bukalapak
20,Happy 3GB 2 Hari,10250,,Paket Data,Tri,mitra bukalapak
21,PAKET DATA THREE 2 GB 24JAM MASA AKTIF 30 HARI,13725,,Paket Data,Tri,mitra bukalapak
22,"PAKET DATA THREE 2,5 GB 24JAM MASA AKTIF 14 HARI",15750,,Paket Data,Tri,mitra bukalapak
28,AON 3GB + Kuota Lokal 1.5GB,19350,,Paket Data,Tri,mitra bukalapak
29,Happy 5GB 7 hari,19500,"Kuota 5GB (semua jaringan 24 jam), masa aktif 7 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234",Paket Data,Tri,mitra bukalapak
30,Paket Happy 5GB,25000,,Paket Data,Tri,mitra bukalapak
32,Paket Happy 5GB,25000,"5GB (semua jaringan 24 jam) masa aktif 7 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234.",Paket Data,Tri,mitra bukalapak
33,Happy 6GB 5 hari,20500,,Paket Data,Tri,mitra bukalapak
34,PAKET DATA THREE 4 GB 24JAM MASA AKTIF 14 HARI,25250,,Paket Data,Tri,mitra bukalapak
35,AON 4GB + Kuota Lokal 2.5GB,24200,,Paket Data,Tri,mitra bukalapak
36,Happy 7GB 30 hari + TikTok 5GB,29000,,Paket Data,Tri,mitra bukalapak
37,"Tri Keep ON 5 GB, 30Hr",29900,,Paket Data,Tri,mitra bukalapak
43,PAKET DATA THREE 5 GB 24JAM MASA AKTIF 30 HARI,34500,,Paket Data,Tri,mitra bukalapak
44,H3RO 85 Diamonds MLBB + 5GB,33700,,Paket Data,Tri,mitra bukalapak
45,AON 7GB + Kuota Lokal 4GB,38440,,Paket Data,Tri,mitra bukalapak
46,Happy 11GB 30 hari + TikTok 5GB,44250,,Paket Data,Tri,mitra bukalapak
47,AON 10GB + Kuota Lokal 6GB,48450,,Paket Data,Tri,mitra bukalapak
52,Internet 10GB + Klikfilm 30 Hari,67500,,Paket Data,Tri,mitra bukalapak
53,Happy 14GB 30 hari + TikTok 5GB,53500,"Kuota 14GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).",Paket Data,Tri,mitra bukalapak
54,AON 14GB + Kuota Lokal 7GB,58230,,Paket Data,Tri,mitra bukalapak
55,Happy 18GB 30 hari + TikTok 5GB,58500,,Paket Data,Tri,mitra bukalapak
56,PAKET DATA THREE 10 GB 24JAM MASA AKTIF 30 HARI,61500,,Paket Data,Tri,mitra bukalapak
57,"Tri Keep ON 8.5 GB, 30Hr",61000,,Paket Data,Tri,mitra bukalapak
63,"Tri Keep ON 8.5 GB, 30Hr",61000,Sedang Gangguan,Paket Data,Tri,mitra bukalapak
64,H3RO 170 Diamonds MLBB + 10GB,63700,,Paket Data,Tri,mitra bukalapak
65,Internet 10GB + VIU 30 Hari,67500,,Paket Data,Tri,mitra bukalapak
66,Happy 30GB 30 hari + TikTok 5GB,68000,,Paket Data,Tri,mitra bukalapak
67,AddOn 32GB,72000,,Paket Data,Tri,mitra bukalapak
71,AddOn 32GB,72000,Sedang Gangguan,Paket Data,Tri,mitra bukalapak
72,AddOn 38GB,82000,Sedang Gangguan,Paket Data,Tri,mitra bukalapak
73,Happy 42GB 30 hari + TikTok 5GB,82500,,Paket Data,Tri,mitra bukalapak
74,H3RO 296 diamonds MLBB + 25GB,97000,,Paket Data,Tri,mitra bukalapak
75,AON 40GB + Kuota Lokal 10GB,98000,,Paket Data,Tri,mitra bukalapak
76,Happy 55GB 30 hari + TikTok 5GB,109000,,Paket Data,Tri,mitra bukalapak
77,Home 117GB,118600,,Paket Data,Tri,mitra bukalapak
84,Happy 100GB 30 Hari + TikTok 5GB,134000,,Paket Data,Tri,mitra bukalapak
85,Home 150GB,143500,Sedang Gangguan,Paket Data,Tri,mitra bukalapak
86,Happy 130GB 30 HARI,144800,,Paket Data,Tri,mitra bukalapak
0,Smartfren Internet Volume 4GB,9980,,Paket Data,Smartfren,mitra bukalapak
1,Smartfren Internet Volume 6GB,19680,,Paket Data,Smartfren,mitra bukalapak
2,Smartfren SMART DATA UNLIMITED 4G 7HARI,24850,,Paket Data,Smartfren,mitra bukalapak
6,Smartfen Unlimited Nonstop 45RB,49000,,Paket Data,Smartfren,mitra bukalapak
7,Smartfen Unlimited Nonstop 70RB,68400,,Paket Data,Smartfren,mitra bukalapak
8,Smartfren Internet Volume 9GB,15675,,Paket Data,Smartfren,mitra bukalapak
9,Smartfren Super 4G Video Monthly / Kuota Nonstop 7GB Bulanan,20500,Sedang Gangguan,Paket Data,Smartfren,mitra bukalapak
10,Smartfren Super 4G Games 500MB / Super 4G Game Mingguan,20600,,Paket Data,Smartfren,mitra bukalapak
16,Smartfren Internet Volume 18GB,23525,,Paket Data,Smartfren,mitra bukalapak
17,Smartfren Viu Combo 3GB / 28 Days,34500,,Paket Data,Smartfren,mitra bukalapak
18,Smartfren VIU COMBO 3GB 30HR,34500,,Paket Data,Smartfren,mitra bukalapak
19,Smartfren Internet Volume 10GB,30841,,Paket Data,Smartfren,mitra bukalapak
20,Kuota Nonstop 6GB,33925,,Paket Data,Smartfren,mitra bukalapak
24,Smartfren Internet Volume 16GB,39700,,Paket Data,Smartfren,mitra bukalapak
25,Smartfren Super 4G Unlimited 40K,45750,,Paket Data,Smartfren,mitra bukalapak
26,Smartfren Internet Volume 30 GB,61425,,Paket Data,Smartfren,mitra bukalapak
27,Super 4G Unlimited 60K,66025,,Paket Data,Smartfren,mitra bukalapak
28,Plan Smartfren Kuota 2L,79700,,Paket Data,Smartfren,mitra bukalapak
29,Smartfren Smart Data Super 4G Unlimited,81500,,Paket Data,Smartfren,mitra bukalapak
30,Smartfren Smart Data 4G Unlimited,81500,,Paket Data,Smartfren,mitra bukalapak
31,Kuota Nonstop 30GB,100000,,Paket Data,Smartfren,mitra bukalapak
36,Smartfen Unlimited Nonstop 100RB,97500,,Paket Data,Smartfren,mitra bukalapak
37,Smartfren Internet Volume 60 GB,99800,,Paket Data,Smartfren,mitra bukalapak
38,Smartfren Super 4G Unlimited 100RB,99900,,Paket Data,Smartfren,mitra bukalapak
39,Plan Smartfren Kuota 3L,112900,,Paket Data,Smartfren,mitra bukalapak
40,Smartfen Unlimited Nonstop 125RB,124500,,Paket Data,Smartfren,mitra bukalapak
41,Plan Smartfren Kuota 4L,133900,,Paket Data,Smartfren,mitra bukalapak
42,Smartfren Internet Volume 90GB,149275,,Paket Data,Smartfren,mitra bukalapak
50,Smartfren Super 4G Unlimited 150RB,151650,,Paket Data,Smartfren,mitra bukalapak
51,Smartfren Internet Volume 120GB,198600,,Paket Data,Smartfren,mitra bukalapak
52,Internet Volume 120 GB,195000,,Paket Data,Smartfren,mitra bukalapak
53,Smartfren Super 4G Unlimited 200RB,202500,,Paket Data,Smartfren,mitra bukalapak
9,"Xtra Edukasi 2GB, 1hr",1938,,Paket Data,Xl,mitra bukalapak
67,"Akrab L, 3 Anggota, 30hr",205000,,Paket Data,Xl,mitra bukalapak
13,"Paket Data Three 200 MB, 30Hr",1950,,Paket Data,Tri,mitra bukalapak
0,20000,20090,,Token Listrik,,mitra bukalapak
1,50000,50090,,Token Listrik,,mitra bukalapak
2,100000,100090,,Token Listrik,,mitra bukalapak
3,200000,200090,,Token Listrik,,mitra bukalapak
4,500000,500090,,Token Listrik,,mitra bukalapak
5,1000000,1000090,,Token Listrik,,mitra bukalapak
