,SKU,price,category,brand,platform
0,Axis 5000,5875,Pulsa,AXIS,shopee
1,Axis 10000,10865,Pulsa,AXIS,shopee
2,Axis 15.000,14910,Pulsa,AXIS,shopee
3,Axis 25.000,24900,Pulsa,AXIS,shopee
4,Axis 30.000,29900,Pulsa,AXIS,shopee
5,Axis 30.000,30000,Pulsa,AXIS,shopee
6,Axis 50.000,49730,Pulsa,AXIS,shopee
12,Axis 100.000,99300,Pulsa,AXIS,shopee
13,Axis 200.000,199000,Pulsa,AXIS,shopee
14,Axis 300.000,298750,Pulsa,AXIS,shopee
21,AXIS 500.000,498800,Pulsa,AXIS,shopee
22,AXIS 1.000.000,995000,Pulsa,AXIS,shopee
0,Indosat 5000,5795,Pulsa,INDOSAT,shopee
1,Indosat 10000,11050,Pulsa,INDOSAT,shopee
3,Indosat 12000,11990,Pulsa,INDOSAT,shopee
4,Indosat 15.000,14980,Pulsa,INDOSAT,shopee
5,Indosat 20.000,19900,Pulsa,INDOSAT,shopee
6,Indosat 20.000,19730,Pulsa,INDOSAT,shopee
11,INDOSAT 25.000,24875,Pulsa,INDOSAT,shopee
12,Indosat 30.000,29675,Pulsa,INDOSAT,shopee
13,INDOSAT 50.000,49160,Pulsa,INDOSAT,shopee
14,INDOSAT 50.000,48800,Pulsa,INDOSAT,shopee
20,Indosat 60.000,58750,Pulsa,INDOSAT,shopee
21,Indosat 80.000,78050,Pulsa,INDOSAT,shopee
22,INDOSAT 100.000,97310,Pulsa,INDOSAT,shopee
28,INDOSAT 100.000,96700,Pulsa,INDOSAT,shopee
29,Indosat 125.000,123850,Pulsa,INDOSAT,shopee
30,INDOSAT 150.000,148100,Pulsa,INDOSAT,shopee
36,INDOSAT 200.000,198600,Pulsa,INDOSAT,shopee
37,INDOSAT 250.000,234900,Pulsa,INDOSAT,shopee
38,INDOSAT 500.000,469900,Pulsa,INDOSAT,shopee
45,INDOSAT 1.000.000,959900,Pulsa,INDOSAT,shopee
0,Smartfren 5.000,5200,Pulsa,SMARTFREN,shopee
1,Smartfren 10.000,10050,Pulsa,SMARTFREN,shopee
2,Smartfren 20.000,19750,Pulsa,SMARTFREN,shopee
3,Smartfren 25.000,24800,Pulsa,SMARTFREN,shopee
4,Smartfren 30.000,29750,Pulsa,SMARTFREN,shopee
5,Smartfren 50.000,49200,Pulsa,SMARTFREN,shopee
6,Smartfren 60.000,58850,Pulsa,SMARTFREN,shopee
11,Smartfren 75.000,74525,Pulsa,SMARTFREN,shopee
12,Smartfren 100.000,98000,Pulsa,SMARTFREN,shopee
13,Smartfren 150.000,147200,Pulsa,SMARTFREN,shopee
14,Smartfren 200.000,197000,Pulsa,SMARTFREN,shopee
19,Smartfren 300.000,294600,Pulsa,SMARTFREN,shopee
20,Smartfren 500.000,492200,Pulsa,SMARTFREN,shopee
21,Smartfren 1.000.000,989000,Pulsa,SMARTFREN,shopee
0,Telkomsel 1.000,1700,Pulsa,Telkomsel,shopee
1,Telkomsel 2.000,2800,Pulsa,Telkomsel,shopee
2,Telkomsel 3.000,4850,Pulsa,Telkomsel,shopee
3,Telkomsel 5000,5250,Pulsa,Telkomsel,shopee
4,Telkomsel 10000,10350,Pulsa,Telkomsel,shopee
6,Telkomsel 15.000,14900,Pulsa,Telkomsel,shopee
14,Telkomsel 20000,19890,Pulsa,Telkomsel,shopee
15,Telkomsel 25.000,24875,Pulsa,Telkomsel,shopee
22,Telkomsel 30.000,29800,Pulsa,Telkomsel,shopee
23,Telkomsel 30.000,29875,Pulsa,Telkomsel,shopee
24,Telkomsel 35.000,34950,Pulsa,Telkomsel,shopee
31,Telkomsel 40.000,39800,Pulsa,Telkomsel,shopee
38,Telkomsel 45.000,44950,Pulsa,Telkomsel,shopee
40,Telkomsel 50.000,49705,Pulsa,Telkomsel,shopee
45,Telkomsel 55.000,54700,Pulsa,Telkomsel,shopee
46,Telkomsel 60.000,59950,Pulsa,Telkomsel,shopee
47,Telkomsel 65.000,64950,Pulsa,Telkomsel,shopee
48,Telkomsel 70.000,69900,Pulsa,Telkomsel,shopee
54,Telkomsel 75.000,74500,Pulsa,Telkomsel,shopee
56,Telkomsel 80.000,79900,Pulsa,Telkomsel,shopee
62,Telkomsel 85.000,84900,Pulsa,Telkomsel,shopee
63,Telkomsel 90.000,89900,Pulsa,Telkomsel,shopee
64,Telkomsel 95.000,94900,Pulsa,Telkomsel,shopee
69,Telkomsel 100.000,98500,Pulsa,Telkomsel,shopee
71,Telkomsel 150.000,149000,Pulsa,Telkomsel,shopee
79,Telkomsel 200.000,198100,Pulsa,Telkomsel,shopee
85,Telkomsel 300.000,298450,Pulsa,Telkomsel,shopee
86,Telkomsel 500.000,497250,Pulsa,Telkomsel,shopee
87,Telkomsel 1.000.000,995500,Pulsa,Telkomsel,shopee
0,Three 1.000,1350,Pulsa,three,shopee
1,Three 2.000,2310,Pulsa,three,shopee
2,Three 3.000,3300,Pulsa,three,shopee
3,Three 4.000,4389,Pulsa,three,shopee
4,Three 5.000,5545,Pulsa,three,shopee
5,Three 8.000,8500,Pulsa,three,shopee
6,Three 10.000,10425,Pulsa,three,shopee
12,Three 10.000 (test),10450,Pulsa,three,shopee
13,Three 15.000,14975,Pulsa,three,shopee
14,Three 20.000,19850,Pulsa,three,shopee
23,Three 25.000,24700,Pulsa,three,shopee
30,Three 30.000,29900,Pulsa,three,shopee
32,Three 40.000,39880,Pulsa,three,shopee
40,Three 50.000,49400,Pulsa,three,shopee
