,SKU,product_value,base_price,disc_price,disc_rate,brand,category,note
2,660 UC,,Rp178.000,,,PUBG Mobile Voucher,Voucher Game,
3,"1,800 UC",,Rp445.000,,,PUBG Mobile Voucher,Voucher Game,
4,"3,850 UC",,Rp890.000,,,PUBG Mobile Voucher,Voucher Game,
5,"8,100 UC",,Rp1.780.000,,,PUBG Mobile Voucher,Voucher Game,
0,500 Biocaps,,Rp16.650,,,State of Survival Powered by Google Play,Voucher Game,
1,2500 Biocaps,,Rp83.250,,,State of Survival Powered by Google Play,Voucher Game,
2,5000 Biocaps,,Rp165.390,,,State of Survival Powered by Google Play,Voucher Game,
3,10000 Biocaps,,Rp331.890,,,State of Survival Powered by Google Play,Voucher Game,
4,25000 Biocaps,,Rp820.290,,,State of Survival Powered by Google Play,Voucher Game,
5,50000 Biocaps,,Rp1.663.890,,,State of Survival Powered by Google Play,Voucher Game,
0,7 Funds,,Rp15.540,,,One Punch Man Powered by Google Play,Voucher Game,
1,35 Funds,,Rp83.250,,,One Punch Man Powered by Google Play,Voucher Game,
2,70 Funds,,Rp165.390,,,One Punch Man Powered by Google Play,Voucher Game,
3,105 Funds,,Rp243.090,,,One Punch Man Powered by Google Play,Voucher Game,
4,210 Funds,,Rp487.290,,,One Punch Man Powered by Google Play,Voucher Game,
5,350 Funds,,Rp820.290,,,One Punch Man Powered by Google Play,Voucher Game,
6,700 Funds,,Rp1.663.890,,,One Punch Man Powered by Google Play,Voucher Game,
0,"5,000",,Rp5.550,,,Among Us Powered by Google Play,Voucher Game,
1,"20,000",,Rp22.200,,,Among Us Powered by Google Play,Voucher Game,
2,"50,000",,Rp55.500,,,Among Us Powered by Google Play,Voucher Game,
0,MINECRAFT PACK 1720 COIN $9.99,,Rp160.000,Rp149.900,6.74%,Minecraft,Voucher Game,
2,MINECRAFT PACK 3500 COIN $19.99,,Rp324.000,Rp299.900,8.04%,Minecraft,Voucher Game,
4,Gift Code $26.95,,Rp474.600,,,Minecraft,Voucher Game,
5,MOJANG MINECRAFT JAVA EDITION,,Rp389.900,,,Minecraft,Voucher Game,
0,80 Gems,,Rp16.650,,,Clash of Clans Powered by Google Play,Voucher Game,
1,500 Gems,,Rp83.250,,,Clash of Clans Powered by Google Play,Voucher Game,
2,2500 Gems,,Rp331.890,,,Clash of Clans Powered by Google Play,Voucher Game,
3,6500 Gems,,Rp820.290,,,Clash of Clans Powered by Google Play,Voucher Game,
4,14000 Gems,,Rp1.663.890,,,Clash of Clans Powered by Google Play,Voucher Game,
0,30 Big Cat Coin,,Rp86.900,Rp82.500,5.33%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
2,298 Big Cat Coin,,Rp812.900,Rp787.900,0.90%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
4,598 Big Cat Coin,,Rp1.648.900,Rp1.590.000,3.70%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
6,"120,000 Zeny",,Rp31.900,Rp30.900,3.24%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
8,"300,000 Zeny",,Rp86.900,Rp82.500,5.33%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
10,"600,000 Zeny",,Rp163.900,Rp159.900,2.50%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
12,"1,200,000 Zeny",,Rp328.900,Rp318.900,3.14%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
14,"1,980,000 Zeny",,Rp526.900,Rp510.000,3.31%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
14,"2,980,000 Zeny",,Rp812.900,Rp787.900,3.17%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
16,"5,980,000 Zeny",,Rp1.648.900,Rp1.590.000,3.70%,Ragnarok Mobile : Eternal Love Powered by Google Play,Voucher Game,
0,40 Pearls,,Rp16.650,,,Black Desert Mobile Powered By Google Play,Voucher Game,
1,122 Pearls,,Rp49.950,,,Black Desert Mobile Powered By Google Play,Voucher Game,
2,204 Pearls,,Rp83.250,,,Black Desert Mobile Powered By Google Play,Voucher Game,
3,410 Pearls,,Rp165.390,,,Black Desert Mobile Powered By Google Play,Voucher Game,
4,1232 Pearls,,Rp487.290,,,Black Desert Mobile Powered By Google Play,Voucher Game,
5,2055 Pearls,,Rp820.290,,,Black Desert Mobile Powered By Google Play,Voucher Game,
6,4115 Pearls,,Rp1.663.890,,,Black Desert Mobile Powered By Google Play,Voucher Game,
0,200 Gems,,Rp16.650,,,Rise of Kingdom Powered by Google Play,Voucher Game,
1,1050 Gems,,Rp83.250,,,Rise of Kingdom Powered by Google Play,Voucher Game,
2,2200 Gems,,Rp165.390,,,Rise of Kingdom Powered by Google Play,Voucher Game,
3,4600 Gems,,Rp331.890,,,Rise of Kingdom Powered by Google Play,Voucher Game,
4,12000 Gems,,Rp820.290,,,Rise of Kingdom Powered by Google Play,Voucher Game,
5,25000 Gems,,Rp1.663.890,,,Rise of Kingdom Powered by Google Play,Voucher Game,
0,280 Gems,,Rp32.190,,,Lords Mobile Powered by Google Play,Voucher Game,
1,800 Gems,,Rp83.250,,,Lords Mobile Powered by Google Play,Voucher Game,
2,1700 Gems,,Rp165.390,,,Lords Mobile Powered by Google Play,Voucher Game,
3,3600 Gems,,Rp328.900,,,Lords Mobile Powered by Google Play,Voucher Game,
4,9500 Gems,,Rp812.900,,,Lords Mobile Powered by Google Play,Voucher Game,
5,22000 Gems,,Rp1.648.900,,,Lords Mobile Powered by Google Play,Voucher Game,
0,15.000 Lyto Credits,,Rp18.000,,,Lyto & Gravindo,Voucher Game,
1,30.000 Lyto Credits,,Rp36.000,,,Lyto & Gravindo,Voucher Game,
2,"200,000 Lyto Credits",,Rp240.000,,,Lyto & Gravindo,Voucher Game,
3,50.000 Lyto Credits,,Rp60.000,,,Lyto & Gravindo,Voucher Game,
4,100.000 Lyto Credits,,Rp120.000,,,Lyto & Gravindo,Voucher Game,
5,300.000 Lyto Credits,,Rp360.000,,,Lyto & Gravindo,Voucher Game,
0,250 Gems,,Rp13.320,,,Stumble Guys Powered by Google Play,Voucher Game,
1,800 Gems,,Rp34.965,,,Stumble Guys Powered by Google Play,Voucher Game,
2,120 Stumble Tokens,,Rp41.847,,,Stumble Guys Powered by Google Play,Voucher Game,
3,1600 Gems + 75 Stumble Tokens,,Rp61.337,,,Stumble Guys Powered by Google Play,Voucher Game,
4,5000 Gems + 275 Stumble Tokens,,Rp138.750,,,Stumble Guys Powered by Google Play,Voucher Game,
5,1300 Gems,,Rp349.650,,,Stumble Guys Powered by Google Play,Voucher Game,
