,SKU,price,brand,type,note
9,LinkAja Rp 80 000 Top,80.000,LinkAja,Uang Elektronik,
10,LinkAja Rp 90 000 Top,90.000,LinkAja,Uang Elektronik,
11,LinkAja Rp 100 000 Top,100.000,LinkAja,Uang Elektronik,
12,LinkAja Rp 150 000 Top,150.000,LinkAja,Uang Elektronik,
13,LinkAja Rp 200 000 Top,200.000,LinkAja,Uang Elektronik,
14,LinkAja Rp 250 000 Top,250.000,LinkAja,Uang Elektronik,
15,LinkAja Rp 300 000 Top,300.000,LinkAja,Uang Elektronik,
16,LinkAja Rp 600 000 Top,600.000,LinkAja,Uang Elektronik,
17,LinkAja Rp 700 000 Top,700.000,LinkAja,Uang Elektronik,
18,LinkAja Rp 800 000 Top,800.000,LinkAja,Uang Elektronik,
19,LinkAja Rp 900 000 Top,900.000,LinkAja,Uang Elektronik,
0,OVO Top Up OVO Open,1.500,OVO,Uang Elektronik,
0,ShopeePay Rp 5 000 Top,5.000,Shopeepay,Uang Elektronik,
1,ShopeePay Rp 10 000 Top,10.000,Shopeepay,Uang Elektronik,
2,ShopeePay Rp 15 000 Top,15.000,Shopeepay,Uang Elektronik,
3,ShopeePay Rp 20 000 Top,20.000,Shopeepay,Uang Elektronik,
4,ShopeePay Rp 25 000 Top,25.000,Shopeepay,Uang Elektronik,
5,ShopeePay Rp 30 000 Top,30.000,Shopeepay,Uang Elektronik,
6,ShopeePay Rp 35 000 Top,35.000,Shopeepay,Uang Elektronik,
7,ShopeePay Rp 40 000 Top,40.000,Shopeepay,Uang Elektronik,
8,ShopeePay Rp 45 000 Top,45.000,Shopeepay,Uang Elektronik,
9,ShopeePay Rp 50 000 Top,50.000,Shopeepay,Uang Elektronik,
10,ShopeePay Rp 55 000 Top,55.000,Shopeepay,Uang Elektronik,
11,ShopeePay Rp 60 000 Top,60.000,Shopeepay,Uang Elektronik,
12,ShopeePay Rp 65 000 Top,65.000,Shopeepay,Uang Elektronik,
13,ShopeePay Rp 70 000 Top,70.000,Shopeepay,Uang Elektronik,
14,ShopeePay Rp 75 000 Top,75.000,Shopeepay,Uang Elektronik,
15,ShopeePay Rp 80 000 Top,80.000,Shopeepay,Uang Elektronik,
16,ShopeePay Rp 85 000 Top,85.000,Shopeepay,Uang Elektronik,
17,ShopeePay Rp 90 000 Top,90.000,Shopeepay,Uang Elektronik,
18,ShopeePay Rp 95 000 Top,95.000,Shopeepay,Uang Elektronik,
19,ShopeePay Rp 100 000 Top,100.000,Shopeepay,Uang Elektronik,
20,ShopeePay Rp 150 000 Top,150.000,Shopeepay,Uang Elektronik,
21,ShopeePay Rp 200 000 Top,200.000,Shopeepay,Uang Elektronik,
22,ShopeePay Rp 250 000 Top,250.000,Shopeepay,Uang Elektronik,
23,ShopeePay Rp 300 000 Top,300.000,Shopeepay,Uang Elektronik,
24,ShopeePay Rp 400 000 Top,400.000,Shopeepay,Uang Elektronik,
25,ShopeePay Rp 500 000 Top,500.000,Shopeepay,Uang Elektronik,
26,ShopeePay Rp 600 000 Top,600.000,Shopeepay,Uang Elektronik,
27,ShopeePay Rp 700 000 Top,700.000,Shopeepay,Uang Elektronik,
