,product_value,price,SKU,brand,category,5,discount,note,platform
0,5300,5000,Rp5.240,telkomsel,Pulsa,Promo,,,mitra tokopedia
3,10390,10000,Rp10.350,telkomsel,Pulsa,,,,mitra tokopedia
4,19900,20000,Rp19.880,telkomsel,Pulsa,,,,mitra tokopedia
7,24875,25000,Rp24.865,telkomsel,Pulsa,,,,mitra tokopedia
7,98500,100000,Rp98.000,telkomsel,Pulsa,,,,mitra tokopedia
7,197900,200000,Rp196.950,telkomsel,Pulsa,,,,mitra tokopedia
0,5860,5000,Rp5.750,im3,Pulsa,,,,mitra tokopedia
6,19800,Promo,,im3,Pulsa,,,,mitra tokopedia
6,19800,20000,Rp19.725,im3,Pulsa,,,,mitra tokopedia
10,24850,25000,Rp24.700,im3,Pulsa,,,,mitra tokopedia
7,96900,100000,Rp96.700,im3,Pulsa,,,,mitra tokopedia
0,5900,5000,Rp5.875,xl,Pulsa,,,,mitra tokopedia
4,14950,15000,Rp14.895,xl,Pulsa,,,,mitra tokopedia
5,99500,100000,Rp99.300,xl,Pulsa,,,,mitra tokopedia
0,5900,5000,Rp5.875,axis,Pulsa,Promo,,,mitra tokopedia
4,14950,15000,Rp14.895,axis,Pulsa,,,,mitra tokopedia
8,99500,100000,Rp99.300,axis,Pulsa,,,,mitra tokopedia
0,24850,24600,Unlimited 25RB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
2,44590,44140,Unlimited 45RB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
4,64300,63650,Unlimited 65rb,smartfren,Paket Data,,1%,Promo,mitra tokopedia
6,79400,78600,Unlimited 80RB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
8,34750,34400,Unlimited Nonstop 8GB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
8,49700,49200,Unlimited Nonstop 12GB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
10,68500,67800,Unlimited Nonstop 30GB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
12,15000,10000,Kuota 4GB,smartfren,Paket Data,,33.33%,Promo,mitra tokopedia
14,29350,29050,Kuota 10GB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
0,49700,49200,Unlimited Nonstop 12GB,smartfren,Paket Data,,1%,,mitra tokopedia
