variable,"(0.85, 1.0]","(0.44, 0.85]","(0.22, 0.44]","(0.13, 0.22]","(0.08, 0.13]","(0.05, 0.08]","(0.03, 0.05]","(0.02, 0.03]","(0.01, 0.02]","(-0.001, 0.01]"
LM0_core_count,0.5730658667243178,0.4540656633209313,0.11015751533102329,0.022696588199972584,0.0044693246919440864,0.000954825832810807,0.0005486065067599257,4.0001568591871264e-05,0.0,0.0
LM0_core_tpv,1.6238704919815063,1.1944563388824463,0.2859759032726288,0.050874657928943634,0.010294499807059765,0.0020734956488013268,0.0013519268250092864,0.00012326524301897734,0.0,0.0
LM0_ppob_count,0.589267966701932,0.4542860799823869,0.22929209893008365,0.12173275427154252,0.06967076147236471,0.025140314235299683,0.01805675027862746,0.011316533444921126,0.004890446077436974,0.0037003388757072425
LM0_ppob_tpv,0.7830017805099487,0.6094162464141846,0.3027309775352478,0.16173627972602844,0.09253181517124176,0.032775066792964935,0.02292250655591488,0.014191510155797005,0.006194644141942263,0.00453766668215394
LM0_qris_count,0.009011646087447393,0.006698728894651516,0.006991376151998844,0.0019347823475886752,0.0006179016680277546,0.00026722332177608296,2.443498362745251e-05,6.340098618814114e-05,0.0,0.0
LM0_qris_tpv,0.021583067253232002,0.013844112865626812,0.011860031634569168,0.003654052037745714,0.0010042692301794887,0.00036270273267291486,3.457641651039012e-05,1.5387318086368396e-08,0.0,0.0
LM1_core_count,0.8434788211014995,0.6931815612877966,0.164015223411609,0.029416351816057115,0.005774739001213543,0.0013347618896094962,0.0006540391818206242,0.00015628175214117094,0.0,0.0
LM1_core_tpv,2.0276877880096436,1.6152567863464355,0.3850565254688263,0.06197773665189743,0.012555335648357868,0.0025704801082611084,0.0014473776100203395,0.00044408050598576665,0.0,0.0
LM1_ppob_count,0.8765782426851081,0.6580425347941544,0.3351988564997607,0.174707974401243,0.09884194961604376,0.03850292782893127,0.025998127268315532,0.016710769172045434,0.007235446246302636,0.004873703058205812
LM1_ppob_tpv,1.1554031372070312,0.8609364032745361,0.433937132358551,0.22743257880210876,0.1260240375995636,0.04814935475587845,0.03222755342721939,0.02022978663444519,0.008820080198347569,0.005728979595005512
LM1_qris_count,0.019033099239381672,0.011290255838986147,0.013181400515908577,0.0043666007788499515,0.0013186310523063398,0.0005495754633282319,0.0001392901511820576,0.00016680354096815353,2.2910926838102244e-05,0.0
LM1_qris_tpv,0.03477729111909866,0.022262632846832275,0.02204149216413498,0.00785880908370018,0.002483392134308815,0.0010275477543473244,0.00017220080189872533,0.0004629696486517787,3.9127720810938627e-05,0.0
LM2_core_count,0.8861338638116654,0.6896160565010578,0.17355603378039994,0.03145290419149711,0.00642381551479446,0.0013419515198038025,0.0006708734501621739,0.0002143104839972477,0.0,0.0
LM2_core_tpv,2.090484380722046,1.6037719249725342,0.40010717511177063,0.06330643594264984,0.013388635590672493,0.002559446729719639,0.0014845069963485003,0.0005388926947489381,0.0,0.0
LM2_ppob_count,0.842480070627267,0.5644402858899049,0.324449615876417,0.17020616549562392,0.09267068057898746,0.03851679477363999,0.026353859185023677,0.016970860878758747,0.007190689800461033,0.005017452012239474
LM2_ppob_tpv,1.1086522340774536,0.736086368560791,0.4184732139110565,0.2197790890932083,0.11766122281551361,0.047837186604738235,0.03248991444706917,0.019982261583209038,0.008709173649549484,0.00583296874538064
LM2_qris_count,0.018160398731688395,0.020376844317199144,0.03214929982389148,0.017436257624243105,0.007599521080711326,0.00466231304963049,0.0036263264312314985,0.005116525187323381,0.003524473719315463,0.001154915013272733
LM2_qris_tpv,0.03435105085372925,0.039403628557920456,0.05324454605579376,0.02853010594844818,0.012614751234650612,0.006231346167623997,0.005136042833328247,0.006218971684575081,0.004513552412390709,0.0015087086940184236
