,SKU,price,note,category,brand
8,Paket Bicara Telkomsel 10.000,13600,Set harga,Paket Data,Telkomsel
9,GamesMAX Power Weekly MLBB 7HARI ,15000,Set harga,Paket Data,Telkomsel
5,PAKET DATA ZOOM 1 HARI,15125,Set harga,Paket Data,Telkomsel
6,"Telkomsel Data Flash 500MB, 15Hr",16980,Set harga,Paket Data,Telkomsel
7,Telkomsel Data Flash 750MB 7 Hari,18000,Set harga,Paket Data,Telkomsel
8,GamesMAX Ketengan Bulanan 30HARI ,20250,Set harga,Paket Data,Telkomsel
9,PAKET INTERNET HARIAN 20K 1 HARI,20525,Set harga,Paket Data,Telkomsel
5,NELPON SEMUA OPERATOR 30 MENIT + 350 MENIT SESAMA 7HARI,21910,Set harga,Paket Data,Telkomsel
6,"Telkomsel Data Flash 1GB, 30Hr",23400,Set harga,Paket Data,Telkomsel
7,Paket Bicara 380 menit,24450,Set harga,Paket Data,Telkomsel
8,PAKET BICARA SEMUA OPERATOR 3HARI,24500,Set harga,Paket Data,Telkomsel
4,Paket Bicara Telkomsel 25.000,24900,Set harga,Paket Data,Telkomsel
5,Paket Bicara semua operator 25K (ZONA),24900,Set harga,Paket Data,Telkomsel
6,PAKET INTERNET HARIAN 25K 3 HARI,24900,Set harga,Paket Data,Telkomsel
7,GamesMAX Power Silver MLBB 30HARI ,25000,Set harga,Paket Data,Telkomsel
8,PAKET DATA ZOOM 3 HARI,25000,Set harga,Paket Data,Telkomsel
9,GamesMAX Power Silver FF 30HARI ,25300,Set harga,Paket Data,Telkomsel
5,NELPON SEMUA OPERATOR 50 MENIT + 350-600 MENIT SESAMA 7HARI,25570,Set harga,Paket Data,Telkomsel
6,MusicMAX,26000,Set harga,Paket Data,Telkomsel
7,"Kuota MaxStream 5GB + 1GB All network, 30 hari",26500,Set harga,Paket Data,Telkomsel
8,"Telkomsel Data SMULE 1GB, 30Hr",26500,Set harga,Paket Data,Telkomsel
3,Paket Telepon 400 Menit / 3 Hari (370 Tsel &amp; 30 All),27100,Set harga,Paket Data,Telkomsel
4,Paket Telpon (375-900 Menit On Net + 50 Menit Off Net) 7 Hari,27500,Set harga,Paket Data,Telkomsel
5,PAKET INTERNET MINGGUAN 30K,31325,Set harga,Paket Data,Telkomsel
6,PAKET DATA TINDER,35775,Set harga,Paket Data,Telkomsel
7,Paket Telepon 600 Menit / 7 Hari (550 Tsel &amp; 50 All),38500,Set harga,Paket Data,Telkomsel
8,PAKET INTERNET HARIAN 40K 3 HARI,41125,Set harga,Paket Data,Telkomsel
2,PAKET BICARA SESAMA TELKOMSEL 7HARI,44500,Set harga,Paket Data,Telkomsel
3,"Telkomsel Data Flash 2GB, 30 Hr",46200,Set harga,Paket Data,Telkomsel
4,PAKET INTERNET MINGGUAN 45K,46600,Set harga,Paket Data,Telkomsel
5,PAKET DATA ZOOM 7 HARI,50000,Set harga,Paket Data,Telkomsel
6,Telkomsel Data Flash 3GB,50450,Set harga,Paket Data,Telkomsel
7,"Kuota MaxStream 12GB + 3GB All network, 30 hari",50500,Set harga,Paket Data,Telkomsel
8,GamesMAX Power Gold FF 30HARI ,50500,Set harga,Paket Data,Telkomsel
9,PAKET INTERNET BULANAN OMG! 55K,54990,Set harga,Paket Data,Telkomsel
6,NELPON SEMUA OPERATOR 100 MENIT + 1000 MENIT SESAMA 30HARI,55200,Set harga,Paket Data,Telkomsel
7,Paket Bicara Telkomsel 50.000,59000,Set harga,Paket Data,Telkomsel
