iter	Passed	Remaining
427	1894	2531
428	1898	2526
429	1903	2522
430	1907	2518
431	1912	2514
432	1917	2510
433	1920	2504
434	1926	2501
435	1932	2500
436	1939	2498
437	1943	2494
438	1951	2494
439	1955	2488
440	1959	2484
441	1970	2487
442	1973	2481
443	1977	2476
444	1981	2470
445	1984	2465
446	1987	2459
447	1992	2455
448	1997	2450
449	1999	2444
450	2004	2440
451	2008	2434
452	2010	2428
453	2016	2425
454	2020	2419
455	2023	2414
456	2027	2408
457	2032	2404
458	2035	2399
459	2039	2394
460	2044	2390
461	2048	2385
462	2053	2381
463	2059	2379
464	2067	2378
465	2072	2374
466	2074	2367
467	2078	2362
468	2084	2360
469	2089	2356
470	2092	2350
471	2095	2344
472	2099	2338
473	2102	2332
474	2105	2326
475	2109	2322
476	2114	2318
477	2120	2315
478	2123	2309
479	2126	2303
480	2129	2297
481	2132	2291
482	2135	2285
483	2139	2280
484	2142	2275
485	2145	2269
486	2148	2263
487	2152	2258
488	2154	2251
489	2157	2245
490	2160	2239
491	2164	2234
492	2167	2229
493	2171	2224
494	2174	2218
495	2178	2213
496	2181	2208
497	2184	2202
498	2187	2196
499	2191	2191
500	2195	2186
501	2198	2180
502	2200	2174
503	2204	2169
504	2207	2163
505	2211	2158
506	2214	2153
507	2217	2147
508	2220	2141
509	2241	2153
510	2245	2149
511	2250	2144
512	2255	2141
513	2258	2135
514	2261	2130
515	2265	2124
516	2271	2121
517	2274	2116
518	2278	2111
519	2282	2106
520	2285	2101
521	2288	2096
522	2294	2092
523	2298	2087
524	2301	2082
525	2304	2076
526	2307	2071
527	2312	2066
528	2315	2061
529	2319	2056
530	2322	2051
531	2325	2045
532	2328	2040
533	2341	2043
534	2349	2041
535	2366	2048
536	2374	2047
537	2379	2043
538	2387	2042
539	2397	2042
540	2411	2045
541	2427	2051
542	2449	2061
543	2460	2062
544	2484	2074
545	2492	2072
546	2499	2069
547	2502	2063
548	2505	2058
549	2510	2054
550	2515	2049
551	2520	2045
552	2526	2042
553	2532	2038
554	2535	2032
555	2538	2027
556	2542	2022
557	2549	2019
558	2553	2014
559	2559	2010
560	2563	2006
561	2568	2002
562	2574	1997
