iter	Logloss
0	0.6920690725
1	0.6907479509
2	0.6900136593
3	0.6883546128
4	0.6864617992
5	0.6852601545
6	0.6838884919
7	0.6824746113
8	0.6812237525
9	0.6799699987
10	0.6788422958
11	0.6778940796
12	0.6760293712
13	0.6747212165
14	0.6727121225
15	0.6714970283
16	0.6705597889
17	0.6690134644
18	0.6679185709
19	0.6668334478
20	0.6659062804
21	0.6650671676
22	0.6635745806
23	0.6620851901
24	0.660303832
25	0.6594370966
26	0.6578937274
27	0.6570316963
28	0.656005015
29	0.6550946141
30	0.6537699944
31	0.6525614742
32	0.6512836562
33	0.6503620977
34	0.6495273877
35	0.6479033821
36	0.6464817213
37	0.6456208361
38	0.6444495883
39	0.643511022
40	0.6424545469
41	0.6412326979
42	0.6404565502
43	0.6395484412
44	0.6386776649
45	0.6377751648
46	0.6368257425
47	0.6357874211
48	0.6348821467
49	0.6339203001
50	0.6328501946
51	0.631983218
52	0.631041998
53	0.6302598795
54	0.6293944106
55	0.6282783478
56	0.6271982909
57	0.6264843243
58	0.6255659624
59	0.6246577327
60	0.6239893012
61	0.6229403047
62	0.6216741268
63	0.6207671637
64	0.6198524807
65	0.6189188599
66	0.6179272799
67	0.617272901
68	0.61661038
69	0.6155288153
70	0.6146979049
71	0.6135173089
72	0.6127732469
73	0.6120343114
74	0.6115524835
75	0.6105707342
76	0.6096002028
77	0.6084828132
78	0.6076666791
79	0.6069305782
80	0.6062354288
81	0.6054404036
82	0.6046148006
83	0.6037063297
84	0.6024086089
85	0.6014501398
86	0.6004691143
87	0.5992682536
88	0.5988712839
89	0.5978666162
90	0.5972679651
91	0.5961357388
92	0.5950949446
93	0.5938864244
94	0.5927539569
95	0.5919788949
96	0.5910771185
97	0.5897488198
98	0.5890492677
99	0.5884532702
100	0.5872024717
101	0.5864231275
102	0.5854369152
103	0.5844910512
104	0.5834292084
105	0.5824654922
106	0.5811572169
107	0.5796485871
108	0.5787909587
109	0.5779470813
110	0.5772568774
111	0.5766971875
112	0.575792878
113	0.5749609423
114	0.5743932912
115	0.5736089412
116	0.5731483429
117	0.5725584973
118	0.5718941067
119	0.5713472027
120	0.5707363083
121	0.5699247579
122	0.5689038665
123	0.5683108846
124	0.5673782288
125	0.5665376083
126	0.5658072973
127	0.5648592018
128	0.5640116454
129	0.5635315665
130	0.5624951751
131	0.5611720632
132	0.5604049019
133	0.5596612621
134	0.5588656942
135	0.5580778461
136	0.55740658
137	0.5566462943
138	0.5558610999
139	0.5555365642
140	0.5545187486
141	0.5537248091
142	0.5531548059
143	0.552575756
144	0.551145	0.54145	0.55146	0.545146	0.55147	0.544147	0.5148	0.5441148	0.5149	0.543399531
150	0.54297150	0151	0.5425805498
152	0.5421896896
153	0.5413546822
154	0.5409254547
155	0.5403662525
156	0.5398930166
157	0.5393315885
158	0.5384494039
159	0.5376610566
160	0.5367597697
161	0.5360906794
162	0.53504162	0.539522073
163	0.5390536945
164	0.5385420125
165	0.5381941965
166	0.5376009131
167	0.5368806741
168	0.5363142896
169	0.5355388656
170	0.5349756776
171	0.5342775729
172	0.5334651781
173	0.5329260543
174	0.532366485
175	0.5318847174
176	0.5310573653
177	0.5302102914
178	0.5292362017
179	0.528408729
180	0.5277127353
181	0.5270674031
182	0.526451925
183	0.5259608695
184	0.5253877301
185	0.5247506605
186	0.5244407201
187	0.5235084262
188	0.5228440356
189	0.5219005238
190	0.5215439024
191	0.5210698546
192	0.5204168629
193	0.5199638035
194	0.5191348834
195	0.5185544463
196	0.5178502501
197	0.5173648638
198	0.5164958366
199	0.51594253962200	0.5156031673201	0202	0.512008202	0.4945432708
203	0.4940436055
204	0.493544571
205	0.4926679716
206	0.4920309472
207	0.4914162403
208	0.4908171826
209	0.4901623463
210	0.4894567775
211	0.4888621653
212	0.4884247968
213	0.48813370214214	0.4877365593
215	0.4871733658
216	0.4867428156
217	0.4862007982
218	0.4856154074
219	0.4852261881
220	0.4846158966
221	0.4841374074
222	0.4836038304
223	0.4828414917
224	0.4825773464
225	0.4820587879
226	0.4815887691
227	0.4809741523
228	0.4803095239
229	0.479988759
230	0.479416254
231	0.4787951492
232	0.4784570529
233	0.4775100167
234	0.4771030756
235	0.4766067445
236	0.4758514645
237	0.475276917
238	0.4746635617
239	0.4741074269
240	0.473350615
241	0.4729896906
242	0.472509219
243	0.4720109354
244	0.4711812237
245	0.4707427438
246	0.4702012971
247	0.4695844275
248	0.4690948847
249	0.4685461089
250	0.4681245098
251	0.4674297243
252	0.4668065769
253	0.4664156756
254	0.4661224245
255	0.4654704116
256	0.4649336807
257	0.4646205151
258	0.4639134745
259	0.4633663808
260	0.4625825056
261	0.4621872789
262	0.461837288
263	0.4611093716
264	0.4605547988
265	0.4600690106
266	0.4596018153
267	0.4591475059
268	0.4588257797
269	0.45828187
270	0.4577842772
271	0.4572664696
272	0.4568872227
273	0.4561311316
274	0.4557888301
275	0.4554806206
276	0.4549887349
277	0.4544841436
278	0.4538807907
279	0.453393831
280	0.4528525946
281	0.4522896113
282	0.4517715935
283	0.4509588227
284	0.4504332054
285	0.4499744205
286	0.449645095
287	0.4493139672
288	0.4484332227
289	0.4479492668
290	0.4476944931
291	0.4473615631
292	0.4470654886
293	0.446537168
294	0.4461650398
295	0.44549116
296	0.4450853603
297	0.44436231
298	0.44399685
299	0.443407254
300	0.4427859389
301	0.4423234594
302	0.4416196928
303	0.4408806027
304	0.4406093688
305	0.440137728
306	0.4395736935
307	0.4390963757
308	0.4386576555
309	0.4381232675
310	0.4377229645
311	0.4374032509
312	0.4370954018
313	0.4365356325
314	0.4359178318
315	0.4352182704
316	0.4348620918
317	0.4344841063
318	0.4341215599
319	0.4337996535
320	0.4335029782
321	0.4329211318
322	0.4323341189
323	0.4317352415
324	0.4311811192
325	0.4306965024
326	0.4300911971
327	0.4296184149
328	0.4291260487
329	0.4286681648
330	0.428099024
331	0.4275719049
332	0.4273517338
333	0.4268527895
334	0.4263619851
335	0.4260145172
336	0.4256038516
337	0.4250806673
338	0.4247088094
339	0.4242857084
340	0.4239352369
341	0.423407427
342	0.4230802641
343	0.422472676
344	0.4221006679
345	0.4214164554
346	0.42093292
347	0.4205704336
348	0.420124084
349	0.4196192824
350	0.4192266389
351	0.4189094784
352	0.4184115553
353	0.4178563516
354	0.4175016749
355	0.4172735139
356	0.4169658751
357	0.4163966442
358	0.4157913689
359	0.4153978243
360	0.4150556429
361	0.4144812156
362	0.4139904112
363	0.4135068158
364	0.4128684096
365	0.4124722518
366	0.4119673601
367	0.4116226557
368	0.4109824473
369	0.4105438773
370	0.4102850486
371	0.4097257599
372	0.4092157018
373	0.4089246134
374	0.4082440954
375	0.4078858143
376	0.4076669648
377	0.4071032006
378	0.4067912665
379	0.4063041867
380	0.4057342049
381	0.4053121852
382	0.4048561036
383	0.404413779
384	0.4041266254
385	0.4037668423
